BEN_REG,sexe,age,GEN_NUM,CIP13,total_boites
27,2,20,815,3400938679007,228
27,2,60,814,3400922161419,1961
27,2,60,814,3400922161587,1399
27,2,60,814,3400938014792,1611
27,2,60,814,3400938014853,1849
27,2,60,814,3400939278902,222
27,2,60,814,3400949625529,178
27,2,60,815,3400939510491,2774
27,2,60,815,3400949625987,498
28,1,20,814,3400922164199,763
28,1,20,814,3400938632040,376
28,1,20,815,3400921867992,1632
28,1,20,815,3400922161709,207
28,1,20,815,3400922165141,455
28,1,60,814,3400921866643,10277
28,1,60,814,3400921867244,8282
28,1,60,814,3400938621914,1638
28,1,60,814,3400939507361,3585
28,1,60,815,3400939511092,2404
28,2,20,815,3400938679007,110
28,2,60,814,3400922161587,1009
28,2,60,814,3400938014792,1935
28,2,60,815,3400938015164,1084
28,2,60,815,3400939279442,15
32,1,20,815,3400921868654,3314
32,1,20,815,3400938014914,237
32,1,20,815,3400939511092,3627
32,1,20,815,3400939914169,38
32,1,60,814,3400922161419,3471
32,1,60,814,3400922162997,2086
32,1,60,814,3400926775575,126
32,1,60,814,3400939278902,42
32,1,60,814,3400939507941,12272
32,1,60,814,3400949625529,82
32,1,60,815,3400922164489,1726
32,1,60,815,3400927384486,26
32,1,60,815,3400938681185,1475
32,1,60,815,3400939510491,8112
32,1,60,815,3400939914459,123
32,1,60,815,3400949625987,120
32,2,20,814,3400927384196,61
32,2,20,814,3400927384257,20
32,2,20,814,3400938014853,597
32,2,20,814,3400939909608,98
32,2,20,814,3400939914749,89
32,2,20,815,3400949626298,40
32,2,60,814,3400922164199,4605
32,2,60,814,3400938632040,2316
32,2,60,815,3400921867992,11015
32,2,60,815,3400922161709,3148
32,2,60,815,3400922165141,2693
32,2,60,815,3400927384318,87
44,1,20,814,3400949625178,335
44,1,20,815,3400939279961,57
44,1,60,814,3400939909608,49
44,1,60,815,3400926775865,171
44,1,60,815,3400938679007,720
44,1,60,815,3400949626298,1038
5,1,20,814,3400922164199,157
5,1,20,815,3400922161648,3315
5,1,20,815,3400922165141,73
5,1,60,814,3400921867244,1616
5,1,60,814,3400939507941,22
5,1,60,815,3400938681185,158
5,2,20,814,3400939507361,20
5,2,60,814,3400922161587,4072
5,2,60,814,3400938632040,251
5,2,60,815,3400921867992,9716
11,1,20,814,3400921866643,9813
11,1,20,814,3400921867244,11734
11,1,20,814,3400927384196,44
11,1,20,814,3400927384257,67
